business_id, restaurant_name,dish_id,dish_name,dish_price,price_range,review_count
Zi-F-YvyVOK0k5QD7lrLOg	,Muriel's Jackson Square,58,Baby Drum,20.0,3,35
Zi-F-YvyVOK0k5QD7lrLOg	,Muriel's Jackson Square,59,Crab Cake,15.0,3,37
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,60,Seafood Benedict,12.95,2,206
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,61,Eggs Benedict,10.95,2,213
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,62,Big Easy Breakfast,11.95,2,120
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,63,Oyster Benedict,14.95,2,89
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,64,French Toast ,7.95,2,123
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,65,The Bourbon Street,14.95,2,61
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,66,Breakfast Sandwich,8.95,2,49
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,67,Spicy Boudin Omelet,10.95,2,25
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,68,Eggs Floretine,11.95,2,38
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,69,Fleur de lis Omlet,11.95,2,26
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,70,Hot Mess,13.0,2,132
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,71,Avocado Toast,15.0,2,140
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,72,Fried Chicken,16.0,2,112
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,73,Hot Chicken,15.0,2,77
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,74,Big Kid Breakfast,14.0,2,47
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,75,Big Kids Meal,12.0,2,47
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,76,Short Rib,10.0,2,50
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,77,Rubi chicken salad,9.0,2,48
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,78,Kale Salad,8.0,2,31
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,79,Breakfast Sandwich,12.0,2,41
